id;isbn;title;author;publishing_year;library_id
1;978-5-389-07325-2;Мастер и Маргарита;Михаил Булгаков;1966;1
2;978-0-345-39180-3;1984;Джордж Оруэлл;1949;1
3;978-5-17-118366-8;Преступление и наказание;Фёдор Достоевский;1866;1
4;978-5-389-12235-6;Война и мир;Лев Толстой;1869;2
5;978-1-5011-6586-3;Под куполом;Стивен Кинг;2009;2
6;978-5-389-18925-0;Анна Каренина;Лев Толстой;1878;3
7;978-0-7432-7356-5;Код да Винчи;Дэн Браун;2003;3
8;978-5-17-109501-5;Идиот;Фёдор Достоевский;1869;3
9;978-0-375-50542-5;Старик и море;Эрнест Хемингуэй;1952;4
10;978-5-389-10864-0;Дети капитана Гранта;Жюль Верн;1868;4
11;978-5-389-17906-0;Убить пересмешника;Харпер Ли;1960;4
12;978-5-17-116256-4;Граф Монте-Кристо;Александр Дюма;1844;5
13;978-5-389-18938-0;Дюна;Фрэнк Герберт;1965;5
14;978-0-7434-8771-4;Игры престолов;Джордж Р.Р. Мартин;1996;5
15;978-5-389-07618-4;Маленький принц;Антуан де Сент-Экзюпери;1943;5
16;978-0-06-093546-7;Великий Гэтсби;Фрэнсис Скотт Фицджеральд;1925;6
17;978-5-699-93705-0;Шерлок Холмс. Собрание рассказов;Артур Конан Дойл;1892;6
18;978-0-261-10221-0;Властелин колец: Братство Кольца;Джон Рональд Руэл Толкин;1954;7
19;978-0-553-56978-4;Зверь из джунглей;Генри Джеймс;1903;7
20;978-5-389-18724-9;На маяк;Вирджиния Вулф;1927;8
21;978-5-17-077547-5;Пикник на обочине;Аркадий и Борис Стругацкие;1972;8
22;978-5-389-17957-3;Сто лет одиночества;Габриэль Гарсиа Маркес;1967;8
23;978-5-389-12756-7;Обломов;Иван Гончаров;1859;8
24;978-0-7432-7355-8;Ангелы и демоны;Дэн Браун;2000;8
25;978-5-389-19836-9;Шантарам;Грегори Дэвид Робертс;2003;8
26;978-5-389-10474-2;Моби Дик;Герман Мелвилл;1851;8
27;978-5-389-19058-5;Жизнь Пи;Янн Мартел;2001;8
28;978-5-389-07422-9;К востоку от Эдема;Джон Стейнбек;1952;9
29;978-5-389-19022-6;Бойцовский клуб;Чак Паланик;1996;9
30;978-0-14-144114-6;Джейн Эйр;Шарлотта Бронте;1847;9
31;978-5-389-13314-8;Три товарища;Эрих Мария Ремарк;1936;10
