id;name;postal_address
1;Центральная городская библиотека;Россия, Москва, ул. Ленина, д. 10
2;Национальная библиотека Республики;Россия, Санкт-Петербург, Невский проспект, д. 1
3;Городская библиотека искусств;Россия, Казань, ул. Кремлевская, д. 25
4;Областная библиотека знаний;Россия, Екатеринбург, ул. Малышева, д. 34
5;Международная научная библиотека;Россия, Новосибирск, ул. Ломоносова, д. 15
6;Библиотека имени Чехова;Россия, Ростов-на-Дону, пр. Ворошиловский, д. 7
7;Детская библиотека открытий;Россия, Самара, ул. Куйбышева, д. 19
8;Академическая библиотека литературы;Россия, Пермь, ул. Куйбышева, д. 22
9;Современная цифровая библиотека;Россия, Уфа, ул. Октября, д. 5
10;Региональная библиотека развития;Россия, Красноярск, ул. Мира, д. 40
